CompetitionName,CompetitionPK,TeamName,TeamPK
2018 East Fremantle Year 3 North,2018_east_fremantle_year_3_north,Applecross Mount Pleasant JFC Yr 3 Brown,applecross_mount_pleasant_jfc_yr_3_brown
2018 East Fremantle Year 3 North,2018_east_fremantle_year_3_north,Applecross Mount Pleasant JFC Yr 3 Gold,applecross_mount_pleasant_jfc_yr_3_gold
2018 East Fremantle Year 3 North,2018_east_fremantle_year_3_north,Booragoon JFC Yr 3 Red,booragoon_jfc_yr_3_red
2018 East Fremantle Year 3 North,2018_east_fremantle_year_3_north,Booragoon JFC Yr 3 White,booragoon_jfc_yr_3_white
2018 East Fremantle Year 3 North,2018_east_fremantle_year_3_north,Bullcreek Leeming JFC Yr 3 Eagles,bullcreek_leeming_jfc_yr_3_eagles
2018 East Fremantle Year 3 North,2018_east_fremantle_year_3_north,Canning Vale JFC Yr 3 Teal,canning_vale_jfc_yr_3_teal
2018 East Fremantle Year 3 North,2018_east_fremantle_year_3_north,Canning Vale JFC Yr 3 White,canning_vale_jfc_yr_3_white
2018 East Fremantle Year 3 North,2018_east_fremantle_year_3_north,East Fremantle JFC Yr 3 White,east_fremantle_jfc_yr_3_white
2018 East Fremantle Year 3 North,2018_east_fremantle_year_3_north,Melville JFC Yr 3 Green,melville_jfc_yr_3_green
2018 East Fremantle Year 3 North,2018_east_fremantle_year_3_north,Piara Waters JFC Yr 3 White,piara_waters_jfc_yr_3_white
2018 East Fremantle Year 3 North,2018_east_fremantle_year_3_north,Rossmoyne JFC Yr 3,rossmoyne_jfc_yr_3
2018 East Fremantle Year 3 North,2018_east_fremantle_year_3_north,Willetton JFC Yr 3 Navy,willetton_jfc_yr_3_navy
2018 East Fremantle Year 3 North,2018_east_fremantle_year_3_north,Winnacott JFC Yr 3 Lions,winnacott_jfc_yr_3_lions
2018 East Fremantle Year 3 South,2018_east_fremantle_year_3_south,Applecross Mount Pleasant JFC Yr 3 Brown,applecross_mount_pleasant_jfc_yr_3_brown
2018 East Fremantle Year 3 South,2018_east_fremantle_year_3_south,Applecross Mount Pleasant JFC Yr 3 Gold,applecross_mount_pleasant_jfc_yr_3_gold
2018 East Fremantle Year 3 South,2018_east_fremantle_year_3_south,Attadale JFC Yr 3 Black,attadale_jfc_yr_3_black
2018 East Fremantle Year 3 South,2018_east_fremantle_year_3_south,Attadale JFC Yr 3 Red,attadale_jfc_yr_3_red
2018 East Fremantle Year 3 South,2018_east_fremantle_year_3_south,Booragoon JFC Yr 3 Blue,booragoon_jfc_yr_3_blue
2018 East Fremantle Year 3 South,2018_east_fremantle_year_3_south,Booragoon JFC Yr 3 Red,booragoon_jfc_yr_3_red
2018 East Fremantle Year 3 South,2018_east_fremantle_year_3_south,Bullcreek Leeming JFC Yr 3 Sharks,bullcreek_leeming_jfc_yr_3_sharks
2018 East Fremantle Year 3 South,2018_east_fremantle_year_3_south,Canning Vale JFC Yr 3 White,canning_vale_jfc_yr_3_white
2018 East Fremantle Year 3 South,2018_east_fremantle_year_3_south,East Fremantle JFC Yr 3 Blue,east_fremantle_jfc_yr_3_blue
2018 East Fremantle Year 3 South,2018_east_fremantle_year_3_south,East Fremantle JFC Yr 3 White,east_fremantle_jfc_yr_3_white
2018 East Fremantle Year 3 South,2018_east_fremantle_year_3_south,Palmyra JFC Yr 3,palmyra_jfc_yr_3
2018 East Fremantle Year 3 South,2018_east_fremantle_year_3_south,Piara Waters JFC Yr 3 Grey,piara_waters_jfc_yr_3_grey
2018 East Fremantle Year 3 South,2018_east_fremantle_year_3_south,Riverton JFC Yr 3,riverton_jfc_yr_3
2018 East Fremantle Year 3 South,2018_east_fremantle_year_3_south,Rossmoyne JFC Yr 3,rossmoyne_jfc_yr_3
2018 East Fremantle Year 3 South,2018_east_fremantle_year_3_south,Willetton JFC Yr 3 Blue,willetton_jfc_yr_3_blue
2018 East Fremantle Year 3 South,2018_east_fremantle_year_3_south,Willetton JFC Yr 3 Navy,willetton_jfc_yr_3_navy
2018 East Fremantle Year 3 West,2018_east_fremantle_year_3_west,Attadale JFC Yr 3 Black,attadale_jfc_yr_3_black
2018 East Fremantle Year 3 West,2018_east_fremantle_year_3_west,Booragoon JFC Yr 3 Blue,booragoon_jfc_yr_3_blue
2018 East Fremantle Year 3 West,2018_east_fremantle_year_3_west,Bullcreek Leeming JFC Yr 3 Bulls,bullcreek_leeming_jfc_yr_3_bulls
2018 East Fremantle Year 3 West,2018_east_fremantle_year_3_west,Bullcreek Leeming JFC Yr 3 Sharks,bullcreek_leeming_jfc_yr_3_sharks
2018 East Fremantle Year 3 West,2018_east_fremantle_year_3_west,Canning Vale JFC Yr 3 Black,canning_vale_jfc_yr_3_black
2018 East Fremantle Year 3 West,2018_east_fremantle_year_3_west,East Fremantle JFC Yr 3 Purple,east_fremantle_jfc_yr_3_purple
2018 East Fremantle Year 3 West,2018_east_fremantle_year_3_west,Melville JFC Yr 3 Gold,melville_jfc_yr_3_gold
2018 East Fremantle Year 3 West,2018_east_fremantle_year_3_west,Piara Waters JFC Yr 3 Orange,piara_waters_jfc_yr_3_orange
2018 East Fremantle Year 3 West,2018_east_fremantle_year_3_west,Riverton JFC Yr 3,riverton_jfc_yr_3
2018 East Fremantle Year 3 West,2018_east_fremantle_year_3_west,Rostrata Year 3,rostrata_year_3
2018 East Fremantle Year 3 West,2018_east_fremantle_year_3_west,Willetton JFC Yr 3 Blue,willetton_jfc_yr_3_blue
2018 East Fremantle Year 3 West,2018_east_fremantle_year_3_west,Winnacott JFC Yr 3 Tigers,winnacott_jfc_yr_3_tigers
2018 East Fremantle Year 4 North,2018_east_fremantle_year_4_north,Attadale JFC Yr 4 Black,attadale_jfc_yr_4_black
2018 East Fremantle Year 4 North,2018_east_fremantle_year_4_north,Booragoon JFC Yr 4 Red,booragoon_jfc_yr_4_red
2018 East Fremantle Year 4 North,2018_east_fremantle_year_4_north,Canning Vale JFC Yr 4 Black,canning_vale_jfc_yr_4_black
2018 East Fremantle Year 4 North,2018_east_fremantle_year_4_north,East Fremantle JFC Yr 4 Purple,east_fremantle_jfc_yr_4_purple
2018 East Fremantle Year 4 North,2018_east_fremantle_year_4_north,East Fremantle JFC Yr 4 White,east_fremantle_jfc_yr_4_white
2018 East Fremantle Year 4 North,2018_east_fremantle_year_4_north,Melville JFC Yr 4 Green,melville_jfc_yr_4_green
2018 East Fremantle Year 4 North,2018_east_fremantle_year_4_north,Palmyra JFC Yr 4,palmyra_jfc_yr_4
2018 East Fremantle Year 4 North,2018_east_fremantle_year_4_north,Rossmoyne JFC Yr 4,rossmoyne_jfc_yr_4
2018 East Fremantle Year 4 North,2018_east_fremantle_year_4_north,Willetton JFC Yr 4,willetton_jfc_yr_4
2018 East Fremantle Year 4 South,2018_east_fremantle_year_4_south,Applecross Mount Pleasant JFC Yr 4 Brown,applecross_mount_pleasant_jfc_yr_4_brown
2018 East Fremantle Year 4 South,2018_east_fremantle_year_4_south,Applecross Mount Pleasant JFC Yr 4 Gold,applecross_mount_pleasant_jfc_yr_4_gold
2018 East Fremantle Year 4 South,2018_east_fremantle_year_4_south,Bullcreek Leeming JFC Yr 4,bullcreek_leeming_jfc_yr_4
2018 East Fremantle Year 4 South,2018_east_fremantle_year_4_south,Canning Vale JFC Yr 4 Teal,canning_vale_jfc_yr_4_teal
2018 East Fremantle Year 4 South,2018_east_fremantle_year_4_south,East Fremantle JFC Yr 4 Blue,east_fremantle_jfc_yr_4_blue
2018 East Fremantle Year 4 South,2018_east_fremantle_year_4_south,East Fremantle JFC Yr 4 Purple,east_fremantle_jfc_yr_4_purple
2018 East Fremantle Year 4 South,2018_east_fremantle_year_4_south,Melville JFC Yr 4 Gold,melville_jfc_yr_4_gold
2018 East Fremantle Year 4 South,2018_east_fremantle_year_4_south,Palmyra JFC Yr 4,palmyra_jfc_yr_4
2018 East Fremantle Year 4 South,2018_east_fremantle_year_4_south,Piara Waters JFC Yr 4 Grey,piara_waters_jfc_yr_4_grey
2018 East Fremantle Year 4 South,2018_east_fremantle_year_4_south,Rostrata Year 4,rostrata_year_4
2018 East Fremantle Year 4 West,2018_east_fremantle_year_4_west,Attadale JFC Yr 4 Red,attadale_jfc_yr_4_red
2018 East Fremantle Year 4 West,2018_east_fremantle_year_4_west,Booragoon JFC Yr 4 Blue,booragoon_jfc_yr_4_blue
2018 East Fremantle Year 4 West,2018_east_fremantle_year_4_west,Bullcreek Leeming JFC Yr 4,bullcreek_leeming_jfc_yr_4
2018 East Fremantle Year 4 West,2018_east_fremantle_year_4_west,Canning Vale JFC Yr 4 Blue,canning_vale_jfc_yr_4_blue
2018 East Fremantle Year 4 West,2018_east_fremantle_year_4_west,Canning Vale JFC Yr 4 White,canning_vale_jfc_yr_4_white
2018 East Fremantle Year 4 West,2018_east_fremantle_year_4_west,East Fremantle JFC Yr 4 Blue,east_fremantle_jfc_yr_4_blue
2018 East Fremantle Year 4 West,2018_east_fremantle_year_4_west,Melville JFC Yr 4 Gold,melville_jfc_yr_4_gold
2018 East Fremantle Year 4 West,2018_east_fremantle_year_4_west,Piara Waters JFC Yr 4 Orange,piara_waters_jfc_yr_4_orange
2018 East Fremantle Year 4 West,2018_east_fremantle_year_4_west,Winnacott JFC Yr 4,winnacott_jfc_yr_4
2018 East Fremantle Year 5 North,2018_east_fremantle_year_5_north,Applecross Mount Pleasant JFC Yr 5 Gold,applecross_mount_pleasant_jfc_yr_5_gold
2018 East Fremantle Year 5 North,2018_east_fremantle_year_5_north,Attadale JFC Yr 5 Black,attadale_jfc_yr_5_black
2018 East Fremantle Year 5 North,2018_east_fremantle_year_5_north,Booragoon JFC Yr 5 Blue,booragoon_jfc_yr_5_blue
2018 East Fremantle Year 5 North,2018_east_fremantle_year_5_north,Booragoon JFC Yr 5 White,booragoon_jfc_yr_5_white
2018 East Fremantle Year 5 North,2018_east_fremantle_year_5_north,Bullcreek Leeming JFC Yr 5 Bulls,bullcreek_leeming_jfc_yr_5_bulls
2018 East Fremantle Year 5 North,2018_east_fremantle_year_5_north,Bullcreek Leeming JFC Yr 5 Sharks,bullcreek_leeming_jfc_yr_5_sharks
2018 East Fremantle Year 5 North,2018_east_fremantle_year_5_north,East Fremantle JFC Yr 5 White,east_fremantle_jfc_yr_5_white
2018 East Fremantle Year 5 North,2018_east_fremantle_year_5_north,Palmyra JFC Yr 5 Blue,palmyra_jfc_yr_5_blue
2018 East Fremantle Year 5 North,2018_east_fremantle_year_5_north,Palmyra JFC Yr 5 Red,palmyra_jfc_yr_5_red
2018 East Fremantle Year 5 North,2018_east_fremantle_year_5_north,Willetton JFC Yr 5,willetton_jfc_yr_5
2018 East Fremantle Year 5 South,2018_east_fremantle_year_5_south,Booragoon JFC Yr 5 Blue,booragoon_jfc_yr_5_blue
2018 East Fremantle Year 5 South,2018_east_fremantle_year_5_south,Bullcreek Leeming JFC Yr 5 Bulls,bullcreek_leeming_jfc_yr_5_bulls
2018 East Fremantle Year 5 South,2018_east_fremantle_year_5_south,Canning Vale JFC Yr 5 Black,canning_vale_jfc_yr_5_black
2018 East Fremantle Year 5 South,2018_east_fremantle_year_5_south,Canning Vale JFC Yr 5 Teal,canning_vale_jfc_yr_5_teal
2018 East Fremantle Year 5 South,2018_east_fremantle_year_5_south,East Fremantle JFC Yr 5 Blue,east_fremantle_jfc_yr_5_blue
2018 East Fremantle Year 5 South,2018_east_fremantle_year_5_south,East Fremantle JFC Yr 5 Red,east_fremantle_jfc_yr_5_red
2018 East Fremantle Year 5 South,2018_east_fremantle_year_5_south,East Fremantle JFC Yr 5 White,east_fremantle_jfc_yr_5_white
2018 East Fremantle Year 5 South,2018_east_fremantle_year_5_south,Piara Waters JFC Yr 5,piara_waters_jfc_yr_5
2018 East Fremantle Year 5 South,2018_east_fremantle_year_5_south,Riverton JFC Yr 5,riverton_jfc_yr_5
2018 East Fremantle Year 5 South,2018_east_fremantle_year_5_south,Rossmoyne JFC Yr 5,rossmoyne_jfc_yr_5
2018 East Fremantle Year 5 South,2018_east_fremantle_year_5_south,Willetton JFC Yr 5,willetton_jfc_yr_5
2018 East Fremantle Year 5 South,2018_east_fremantle_year_5_south,Winnacott JFC Yr 5 Tigers,winnacott_jfc_yr_5_tigers
2018 East Fremantle Year 5 West,2018_east_fremantle_year_5_west,Applecross Mount Pleasant JFC Yr 5 Brown,applecross_mount_pleasant_jfc_yr_5_brown
2018 East Fremantle Year 5 West,2018_east_fremantle_year_5_west,Attadale JFC Yr 5 Red,attadale_jfc_yr_5_red
2018 East Fremantle Year 5 West,2018_east_fremantle_year_5_west,Canning Vale JFC Yr 5 White,canning_vale_jfc_yr_5_white
2018 East Fremantle Year 5 West,2018_east_fremantle_year_5_west,East Fremantle JFC Yr 5 Blue,east_fremantle_jfc_yr_5_blue
2018 East Fremantle Year 5 West,2018_east_fremantle_year_5_west,East Fremantle JFC Yr 5 Red,east_fremantle_jfc_yr_5_red
2018 East Fremantle Year 5 West,2018_east_fremantle_year_5_west,Melville JFC Yr 5 Gold,melville_jfc_yr_5_gold
2018 East Fremantle Year 5 West,2018_east_fremantle_year_5_west,Melville JFC Yr 5 Green,melville_jfc_yr_5_green
2018 East Fremantle Year 5 West,2018_east_fremantle_year_5_west,Riverton JFC Yr 5,riverton_jfc_yr_5
2018 East Fremantle Year 5 West,2018_east_fremantle_year_5_west,Rossmoyne JFC Yr 5,rossmoyne_jfc_yr_5
2018 East Fremantle Year 5 West,2018_east_fremantle_year_5_west,Winnacott JFC Yr 5 Panthers,winnacott_jfc_yr_5_panthers
2018 East Fremantle Year 6 North,2018_east_fremantle_year_6_north,Applecross Mount Pleasant JFC Yr 6 Brown,applecross_mount_pleasant_jfc_yr_6_brown
2018 East Fremantle Year 6 North,2018_east_fremantle_year_6_north,Booragoon JFC Yr 6 Blue,booragoon_jfc_yr_6_blue
2018 East Fremantle Year 6 North,2018_east_fremantle_year_6_north,Booragoon JFC Yr 6 White,booragoon_jfc_yr_6_white
2018 East Fremantle Year 6 North,2018_east_fremantle_year_6_north,Bullcreek Leeming JFC Yr 6,bullcreek_leeming_jfc_yr_6
2018 East Fremantle Year 6 North,2018_east_fremantle_year_6_north,Canning Vale JFC Yr 6 Black,canning_vale_jfc_yr_6_black
2018 East Fremantle Year 6 North,2018_east_fremantle_year_6_north,Canning Vale JFC Yr 6 Teal,canning_vale_jfc_yr_6_teal
2018 East Fremantle Year 6 North,2018_east_fremantle_year_6_north,East Fremantle JFC Yr 6 Blue,east_fremantle_jfc_yr_6_blue
2018 East Fremantle Year 6 North,2018_east_fremantle_year_6_north,East Fremantle JFC Yr 6 White,east_fremantle_jfc_yr_6_white
2018 East Fremantle Year 6 North,2018_east_fremantle_year_6_north,Melville JFC Yr 6,melville_jfc_yr_6
2018 East Fremantle Year 6 North,2018_east_fremantle_year_6_north,Palmyra JFC Yr 6,palmyra_jfc_yr_6
2018 East Fremantle Year 6 North,2018_east_fremantle_year_6_north,Piara Waters JFC Yr 6,piara_waters_jfc_yr_6
2018 East Fremantle Year 6 North,2018_east_fremantle_year_6_north,Riverton JFC Yr 6,riverton_jfc_yr_6
2018 East Fremantle Year 6 North,2018_east_fremantle_year_6_north,Willetton JFC Yr 6,willetton_jfc_yr_6
2018 East Fremantle Year 6 West,2018_east_fremantle_year_6_west,Applecross Mount Pleasant JFC Yr 6 Brown,applecross_mount_pleasant_jfc_yr_6_brown
2018 East Fremantle Year 6 West,2018_east_fremantle_year_6_west,Applecross Mount Pleasant JFC Yr 6 Gold,applecross_mount_pleasant_jfc_yr_6_gold
2018 East Fremantle Year 6 West,2018_east_fremantle_year_6_west,Attadale JFC Yr 6,attadale_jfc_yr_6
2018 East Fremantle Year 6 West,2018_east_fremantle_year_6_west,Booragoon JFC Yr 6 Blue,booragoon_jfc_yr_6_blue
2018 East Fremantle Year 6 West,2018_east_fremantle_year_6_west,Booragoon JFC Yr 6 White,booragoon_jfc_yr_6_white
2018 East Fremantle Year 6 West,2018_east_fremantle_year_6_west,Canning Vale JFC Yr 6 White,canning_vale_jfc_yr_6_white
2018 East Fremantle Year 6 West,2018_east_fremantle_year_6_west,East Fremantle JFC Yr 6 Blue,east_fremantle_jfc_yr_6_blue
2018 East Fremantle Year 6 West,2018_east_fremantle_year_6_west,East Fremantle JFC Yr 6 White,east_fremantle_jfc_yr_6_white
2018 East Fremantle Year 6 West,2018_east_fremantle_year_6_west,Melville JFC Yr 6,melville_jfc_yr_6
2018 East Fremantle Year 6 West,2018_east_fremantle_year_6_west,Palmyra JFC Yr 6,palmyra_jfc_yr_6
2018 East Fremantle Year 6 West,2018_east_fremantle_year_6_west,Riverton JFC Yr 6,riverton_jfc_yr_6
2018 East Fremantle Year 6 West,2018_east_fremantle_year_6_west,Rossmoyne Rostrata Yr 6,rossmoyne_rostrata_yr_6
2018 East Fremantle Year 6 West,2018_east_fremantle_year_6_west,Willetton JFC Yr 6,willetton_jfc_yr_6
2018 East Fremantle Year 6 West,2018_east_fremantle_year_6_west,Winnacott JFC Yr 6,winnacott_jfc_yr_6
2018 East Fremantle Year 7 North,2018_east_fremantle_year_7_north,Applecross Mount Pleasant JFC Yr 7,applecross_mount_pleasant_jfc_yr_7
2018 East Fremantle Year 7 North,2018_east_fremantle_year_7_north,Attadale JFC Yr 7 Black,attadale_jfc_yr_7_black
2018 East Fremantle Year 7 North,2018_east_fremantle_year_7_north,Booragoon JFC Yr 7 Blue,booragoon_jfc_yr_7_blue
2018 East Fremantle Year 7 North,2018_east_fremantle_year_7_north,Bullcreek Leeming JFC Yr 7 Sharks,bullcreek_leeming_jfc_yr_7_sharks
2018 East Fremantle Year 7 North,2018_east_fremantle_year_7_north,Canning Vale JFC Yr 7 Teal,canning_vale_jfc_yr_7_teal
2018 East Fremantle Year 7 North,2018_east_fremantle_year_7_north,Canning Vale JFC Yr 7 White,canning_vale_jfc_yr_7_white
2018 East Fremantle Year 7 North,2018_east_fremantle_year_7_north,East Fremantle JFC Yr 7,east_fremantle_jfc_yr_7
2018 East Fremantle Year 7 North,2018_east_fremantle_year_7_north,Winnacott JFC Yr 7,winnacott_jfc_yr_7
